time,x_rel,y_rel,z_rel
10.06,0.7900702,-0.2234589,-0.3713388
10.08,0.7900695,-0.2234594,-0.3713391
10.1,0.7900706,-0.223459,-0.371339
10.12,0.7900702,-0.2234587,-0.3713376
10.14,0.7900703,-0.2234594,-0.3713369
10.16,0.7900712,-0.2234591,-0.3713349
10.18,0.7900708,-0.2234588,-0.3713332
10.2,0.7900711,-0.2234583,-0.3713315
10.22,0.7900712,-0.2234583,-0.3713297
10.24,0.790071,-0.2234579,-0.3713281
10.26,0.7900717,-0.2234573,-0.3713262
10.28,0.7900712,-0.2234572,-0.3713246
10.3,0.7900708,-0.2234566,-0.3713232
10.32,0.7900717,-0.2234567,-0.3713224
10.34,0.7900711,-0.2234561,-0.3713215
10.36,0.7900714,-0.2234569,-0.3713211
10.38,0.7900712,-0.2234559,-0.3713208
10.4,0.7900714,-0.2234566,-0.3713212
10.42,0.7900714,-0.2234566,-0.3713214
10.44,0.7900714,-0.2234563,-0.3713217
10.46,0.7900711,-0.2234571,-0.3713227
10.48,0.7900715,-0.2234571,-0.3713234
10.5,0.7900717,-0.2234569,-0.3713242
10.52,0.7900714,-0.2234574,-0.3713249
10.54,0.7900713,-0.2234572,-0.371326
10.56,0.7900712,-0.2234577,-0.3713269
10.58,0.7900717,-0.2234575,-0.3713278
10.6,0.7900711,-0.2234571,-0.3713283
10.62,0.7900707,-0.2234581,-0.3713293
10.64,0.7900723,-0.2234577,-0.3713297
10.66,0.790071,-0.2234578,-0.3713299
10.68,0.7900715,-0.223458,-0.3713304
10.7,0.7900708,-0.2234578,-0.3713301
10.72,0.7900714,-0.223458,-0.3713302
10.74,0.7900712,-0.2234575,-0.3713297
10.76,0.7900714,-0.2234574,-0.3713299
10.78,0.790072,-0.2234579,-0.3713294
10.8,0.7900715,-0.2234576,-0.3713291
10.82,0.7900715,-0.2234572,-0.3713284
10.84,0.7900711,-0.2234575,-0.3713282
10.86,0.7900716,-0.2234572,-0.371328
10.88,0.7900717,-0.2234572,-0.3713273
10.9,0.7900717,-0.2234571,-0.3713266
10.92,0.7900722,-0.2234576,-0.3713264
10.94,0.7900717,-0.2234572,-0.3713261
10.96,0.790072,-0.2234576,-0.3713256
10.98,0.7900716,-0.2234575,-0.3713252
11,0.7900724,-0.2234574,-0.371325
11.02,0.790072,-0.2234574,-0.3713249
11.04,0.7900721,-0.2234573,-0.371325
11.06,0.7900721,-0.2234575,-0.371325
11.08,0.7900724,-0.2234572,-0.371325
11.1,0.7900722,-0.2234575,-0.3713253
11.12,0.7900721,-0.2234567,-0.3713256
11.14,0.7900726,-0.2234574,-0.3713259
11.16,0.7900716,-0.2234575,-0.3713262
11.18,0.7900725,-0.2234573,-0.3713267
11.2,0.7900717,-0.2234574,-0.3713269
11.22,0.7900721,-0.2234574,-0.3713272
11.24,0.7900721,-0.2234577,-0.3713276
11.26,0.7900721,-0.2234574,-0.3713275
