Time,TargetYaw,RealYaw,TargetHip,RealHip,TargetKnee,RealKnee
5.399908,-110.2174,-107.7647,2.388476,1.86076,99.60925,100.2501
5.417013,-110.1409,-107.857,2.721066,1.664328,99.33419,100.6745
5.433144,-110.0413,-107.9166,3.059143,1.575826,99.07275,101.0064
5.4501,-109.9266,-107.9582,3.380886,1.709682,98.84034,101.1867
5.466402,-109.9266,-107.9582,3.380886,1.709682,98.84034,101.1867
5.482369,-109.6261,-107.9969,4.05218,2.056959,98.40454,101.1892
5.500087,-109.4512,-108.0524,4.377841,2.591107,98.21603,100.9616
5.517155,-109.2339,-108.1211,4.741456,3.280477,98.02245,100.5618
5.532969,-109.0012,-108.1925,5.093737,4.012487,97.85136,100.0605
5.549976,-108.7653,-108.249,5.421688,4.719775,97.70615,99.5244
5.56671,-108.7653,-108.249,5.421688,4.719775,97.70615,99.5244
5.583366,-108.1961,-108.2639,6.125628,5.390245,97.43839,98.97906
5.600134,-107.8821,-108.254,6.474838,6.035899,97.32683,98.48605
5.616009,-107.5439,-108.211,6.827276,6.482361,97.2279,98.10139
5.63334,-107.2031,-108.1485,7.161576,6.887521,97.14633,97.76257
5.649836,-106.8084,-108.0306,7.527036,7.217339,97.07035,97.4256
5.667348,-106.8084,-108.0306,7.527036,7.217339,97.07035,97.4256
5.683052,-105.9647,-107.8859,8.244814,7.582239,96.95941,97.12413
5.700085,-105.5442,-107.7437,8.576101,7.936638,96.92454,96.89054
5.716853,-105.0661,-107.581,8.935056,8.267315,96.89785,96.67315
5.733637,-104.5732,-107.3883,9.287753,8.571954,96.88248,96.48347
5.749727,-104.0576,-107.1636,9.639883,8.857621,96.87751,96.32616
5.766893,-104.0576,-107.1636,9.639883,8.857621,96.87751,96.32616
5.782587,-102.971,-106.8747,10.33374,9.181635,96.89671,96.15617
5.799261,-102.4285,-106.57,10.65885,9.537317,96.9184,96.03584
5.816241,-101.8313,-106.2342,11.00226,9.889444,96.94981,95.90929
5.832814,-101.2014,-105.864,11.34946,10.21368,96.99018,95.85611
5.84977,-100.5658,-105.4551,11.6855,10.7025,97.03738,95.60825
5.866729,-100.5658,-105.4551,11.6855,10.7025,97.03738,95.60825
5.883318,-99.20183,-104.9474,12.36292,10.97742,97.15624,95.75906
5.899827,-98.50443,-104.3831,12.68839,11.19246,97.22453,95.81598
5.916471,-97.79118,-103.8394,13.00788,11.46102,97.29865,95.93034
5.934143,-97.05325,-103.2906,13.32502,11.76616,97.37925,96.06696
5.949528,-96.24948,-102.7175,13.65578,12.10626,97.47095,96.24007
5.966651,-96.24948,-102.7175,13.65578,12.10626,97.47095,96.24007
5.983027,-94.71881,-102.0087,14.24616,12.47813,97.65498,96.38313
5.999485,-93.92339,-101.3008,14.53369,12.87702,97.75471,96.58494
6.016564,-93.10849,-100.5916,14.81526,13.3032,97.85941,96.80791
6.032868,-92.24722,-99.86828,15.09906,13.72729,97.97257,97.06319
6.050402,-91.41107,-99.09286,15.36145,14.12761,98.08472,97.32996
6.066351,-91.41107,-99.09286,15.36145,14.12761,98.08472,97.32996
6.084349,-89.65477,-98.26767,15.87187,14.53019,98.32709,97.56283
6.099629,-88.69126,-97.44184,16.12912,14.93308,98.46381,97.84415
6.116811,-87.86389,-96.58128,16.33743,15.312,98.58332,98.12486
6.133048,-86.9244,-95.72944,16.56005,15.68253,98.7214,98.42932
6.150166,-86.02894,-94.87888,16.75858,16.03554,98.85544,98.74829
6.166441,-86.02894,-94.87888,16.75858,16.03554,98.85544,98.74829
6.182821,-84.16871,-93.94273,17.1287,16.34753,99.14191,99.01975
6.199699,-83.24962,-93.02135,17.29051,16.64252,99.28776,99.34392
6.217172,-82.29991,-92.10142,17.44303,16.92577,99.44172,99.66247
6.234421,-81.31535,-91.17051,17.58529,17.18584,99.60508,99.97865
6.25193,-80.34354,-90.20119,17.70969,17.38986,99.77039,100.2824
6.266397,-80.34354,-90.20119,17.70969,17.38986,99.77039,100.2824
6.283373,-78.54788,-89.18265,17.89696,17.57988,100.0876,100.5719
6.300405,-77.60048,-88.1749,17.97297,17.75469,100.2618,100.873
6.316569,-76.656,-87.16758,18.03262,17.90776,100.4408,101.1656
6.333155,-75.76663,-86.14488,18.07371,18.01396,100.6145,101.4492
6.349831,-74.86241,-85.12709,18.10006,18.10077,100.7968,101.739
6.366776,-74.86241,-85.12709,18.10006,18.10077,100.7968,101.739
6.384553,-73.06099,-84.14999,18.10424,18.26457,101.179,101.9867
6.39942,-72.1284,-83.30452,18.07991,18.53174,101.3881,102.1933
6.416513,-71.36049,-82.61546,18.04558,18.87054,101.5668,102.3773
6.432889,-70.4922,-81.88702,17.99054,19.15429,101.7765,102.6256
6.450283,-69.67611,-81.351,17.92241,19.47436,101.9819,102.8255
6.466743,-69.67611,-81.351,17.92241,19.47436,101.9819,102.8255
6.482971,-68.04214,-80.88216,17.73496,19.16656,102.4201,103.9722
6.50013,-67.28613,-79.73571,17.62349,18.73551,102.6368,103.4514
6.517433,-66.50716,-79.14131,17.49095,18.93064,102.8706,103.8254
6.53505,-65.74375,-75.38478,17.34251,17.67242,103.1112,101.279
