time,x_rel,y_rel,z_rel
11.02,-2.658316,-1.323135,-0.006212556
11.04,-2.658275,-1.323058,-0.006215907
11.06,-2.658212,-1.322841,-0.006175527
11.08,-2.658132,-1.322441,-0.00609477
11.1,-2.658041,-1.321853,-0.005982367
11.12,-2.657933,-1.321046,-0.005848977
11.14,-2.657804,-1.320034,-0.005699601
11.16,-2.657657,-1.318875,-0.005544173
11.18,-2.657497,-1.31764,-0.005393113
11.2,-2.657315,-1.316396,-0.005256208
11.22,-2.657089,-1.315147,-0.005141854
11.24,-2.6568,-1.313915,-0.005052404
11.26,-2.656442,-1.31275,-0.0049939
11.28,-2.656013,-1.31169,-0.004971443
11.3,-2.655514,-1.310754,-0.004988977
11.32,-2.654928,-1.309902,-0.005048359
11.34,-2.654226,-1.309111,-0.005145954
11.36,-2.653413,-1.308389,-0.005282664
11.38,-2.652495,-1.307738,-0.005459045
11.4,-2.651484,-1.307156,-0.005675517
11.42,-2.650375,-1.306598,-0.005932143
11.44,-2.649151,-1.306035,-0.006222914
11.46,-2.647815,-1.305478,-0.006546471
11.48,-2.646388,-1.304939,-0.006902277
11.5,-2.644901,-1.304425,-0.007290508
11.52,-2.643351,-1.303917,-0.007713078
11.54,-2.641749,-1.303403,-0.008164432
11.56,-2.640097,-1.302894,-0.008644789
11.58,-2.638407,-1.302407,-0.009149138
11.6,-2.636701,-1.301956,-0.009673382
11.62,-2.634969,-1.301534,-0.01021601
11.64,-2.633193,-1.301128,-0.01076973
11.66,-2.631377,-1.300748,-0.01132941
11.68,-2.629534,-1.300408,-0.01189152
11.7,-2.627702,-1.300115,-0.01245257
11.72,-2.625845,-1.299862,-0.01301587
11.74,-2.62394,-1.299637,-0.01357412
11.76,-2.622,-1.299444,-0.01412178
11.78,-2.620049,-1.299289,-0.01465568
11.8,-2.618112,-1.299174,-0.01517325
11.82,-2.616155,-1.2991,-0.01567285
11.84,-2.614157,-1.299055,-0.0161491
11.86,-2.61213,-1.29904,-0.01659667
11.88,-2.610093,-1.299055,-0.01701691
11.9,-2.608067,-1.299103,-0.01740677
11.92,-2.606041,-1.299192,-0.01776891
11.94,-2.603983,-1.299315,-0.01809871
11.96,-2.601907,-1.299471,-0.01839606
11.98,-2.599832,-1.299658,-0.01866031
12,-2.597784,-1.299874,-0.01889278
12.02,-2.595747,-1.300134,-0.01909058
12.04,-2.593697,-1.300433,-0.01925901
12.06,-2.591645,-1.300766,-0.01939713
12.08,-2.58961,-1.301127,-0.01950637
12.1,-2.587615,-1.301511,-0.01958917
12.12,-2.585634,-1.301935,-0.01964465
12.14,-2.583644,-1.302402,-0.01967498
12.16,-2.581661,-1.302902,-0.01968133
12.18,-2.579706,-1.303424,-0.01966665
12.2,-2.577802,-1.303959,-0.01963373
12.22,-2.575941,-1.30453,-0.0195915
12.24,-2.574087,-1.305143,-0.01953235
12.26,-2.572256,-1.305787,-0.01945894
12.28,-2.570461,-1.306448,-0.01937202
12.3,-2.568737,-1.307115,-0.01926232
12.32,-2.567036,-1.307816,-0.01913974
12.34,-2.565353,-1.308561,-0.01899635
12.36,-2.5637,-1.309336,-0.01883607
12.38,-2.56209,-1.310124,-0.01865818
12.4,-2.560538,-1.310912,-0.01846364
12.42,-2.55902,-1.311731,-0.01825062
12.44,-2.557666,-1.312563,-0.01801982
12.46,-2.556493,-1.313351,-0.01776683
12.48,-2.555444,-1.314062,-0.01746951
12.5,-2.55445,-1.314719,-0.01712743
12.52,-2.553604,-1.315335,-0.01671755
12.54,-2.552901,-1.315958,-0.01621989
12.56,-2.552325,-1.316607,-0.01565688
12.58,-2.551742,-1.317285,-0.01501547
12.6,-2.551171,-1.318029,-0.01431078
12.62,-2.550542,-1.318817,-0.01357456
12.64,-2.549888,-1.319682,-0.012778
12.66,-2.549247,-1.320629,-0.01194236
12.68,-2.548606,-1.321653,-0.01106242
12.7,-2.547905,-1.322703,-0.01020743
12.72,-2.547122,-1.323463,-0.009282329
12.74,-2.546312,-1.323786,-0.008360177
12.76,-2.545502,-1.323702,-0.007585929
12.78,-2.544742,-1.323273,-0.006867848
12.8,-2.544023,-1.322621,-0.006239699
12.82,-2.543339,-1.321865,-0.005748361
12.84,-2.542733,-1.321104,-0.005341417
12.86,-2.54225,-1.320417,-0.00499173
12.88,-2.541884,-1.319829,-0.004717829
12.9,-2.541631,-1.319353,-0.004514011
12.92,-2.541491,-1.318966,-0.004333702
12.94,-2.541448,-1.318669,-0.004165732
12.96,-2.541503,-1.318462,-0.004050284
12.98,-2.541627,-1.31831,-0.004007382
13,-2.541767,-1.318188,-0.004073036
13.02,-2.541942,-1.318079,-0.004217723
13.04,-2.542114,-1.317971,-0.004447799
13.06,-2.542276,-1.317877,-0.004755121
13.08,-2.542429,-1.317803,-0.005132897
13.1,-2.542572,-1.317757,-0.005570093
13.12,-2.542702,-1.317748,-0.006062086
13.14,-2.542829,-1.317781,-0.006588444
13.16,-2.542957,-1.31786,-0.007138195
13.18,-2.543092,-1.317982,-0.007698481
13.2,-2.543238,-1.318145,-0.008257044
13.22,-2.543398,-1.318345,-0.008802727
13.24,-2.543574,-1.318576,-0.009325455
13.26,-2.543767,-1.318832,-0.009816121
13.27999,-2.543978,-1.319109,-0.01026679
13.3,-2.544206,-1.319403,-0.0106707
13.31999,-2.54445,-1.319711,-0.0110224
13.34,-2.544708,-1.320034,-0.0113178
13.35999,-2.544977,-1.32037,-0.01155412
13.38,-2.545247,-1.320728,-0.01174209
13.39999,-2.545532,-1.321099,-0.01186319
13.42,-2.545811,-1.321489,-0.01193323
13.43999,-2.546086,-1.321902,-0.0119481
13.46,-2.546359,-1.322339,-0.01190844
13.47999,-2.546631,-1.322788,-0.01181862
13.5,-2.546905,-1.323197,-0.01166883
13.51999,-2.547178,-1.323518,-0.01145716
13.54,-2.547436,-1.323735,-0.01119618
13.56,-2.547661,-1.323853,-0.01090127
13.58,-2.547848,-1.323889,-0.01058889
13.6,-2.547984,-1.323864,-0.01027079
13.62,-2.548062,-1.323798,-0.009961363
13.64,-2.548076,-1.323709,-0.009674395
13.66,-2.548026,-1.323614,-0.009419366
13.68,-2.54792,-1.323519,-0.009206926
13.7,-2.547769,-1.323432,-0.009044936
13.72,-2.547587,-1.323355,-0.008938168
13.74,-2.547389,-1.323289,-0.008888661
13.76,-2.54719,-1.323233,-0.008895819
13.77999,-2.547003,-1.323185,-0.008956898
13.8,-2.546834,-1.323137,-0.009057685
13.81999,-2.546689,-1.323095,-0.009183199
13.84,-2.546575,-1.323063,-0.00933517
13.85999,-2.546489,-1.32304,-0.009502102
13.88,-2.546445,-1.323026,-0.009678993
13.89999,-2.546433,-1.323021,-0.009862088
13.92,-2.54645,-1.323024,-0.01004225
13.93999,-2.546492,-1.323033,-0.01021212
13.96,-2.546551,-1.323049,-0.01036536
13.97999,-2.546623,-1.323069,-0.01049651
14,-2.5467,-1.323092,-0.01060146
14.01999,-2.546778,-1.323116,-0.01067737
14.04,-2.546852,-1.323141,-0.01072272
14.05999,-2.546919,-1.323164,-0.01073752
14.08,-2.546975,-1.323184,-0.01072289
14.09999,-2.547019,-1.323202,-0.01068126
14.12,-2.54705,-1.323216,-0.01061592
14.13999,-2.547068,-1.323225,-0.01053104
14.16,-2.547074,-1.32323,-0.01043139
14.17999,-2.54707,-1.323232,-0.01032191
14.2,-2.547056,-1.32323,-0.01020775
14.21999,-2.547035,-1.323225,-0.01009388
14.24,-2.54701,-1.323218,-0.009984913
14.25999,-2.546982,-1.323211,-0.009884959
14.27999,-2.546954,-1.323202,-0.009797464
14.29999,-2.546927,-1.323194,-0.009725152
14.31999,-2.546903,-1.323186,-0.009669847
14.34,-2.546882,-1.323178,-0.009632111
14.35999,-2.546845,-1.323154,-0.009587315
14.38,-2.546779,-1.323063,-0.009555696
14.39999,-2.546681,-1.32284,-0.00955519
14.42,-2.546544,-1.322384,-0.009583625
14.43999,-2.546376,-1.321676,-0.009636994
14.46,-2.546186,-1.320759,-0.009707027
14.47999,-2.545981,-1.319689,-0.009785802
14.5,-2.545767,-1.318529,-0.009863151
14.51999,-2.545523,-1.317284,-0.009932325
14.54,-2.545245,-1.315993,-0.009987467
14.55999,-2.544924,-1.314723,-0.01002216
14.58,-2.544557,-1.313527,-0.01003024
14.59999,-2.544141,-1.312441,-0.01000729
14.62,-2.543656,-1.311435,-0.009951063
14.63999,-2.543077,-1.310503,-0.009863337
14.66,-2.5424,-1.309658,-0.009743036
14.67999,-2.541626,-1.308909,-0.009589221
14.7,-2.540758,-1.308256,-0.009401322
14.71999,-2.539788,-1.307647,-0.009179127
14.74,-2.538692,-1.307053,-0.008927894
14.75999,-2.537473,-1.306482,-0.008650261
14.77999,-2.536146,-1.305936,-0.008346664
14.79999,-2.534732,-1.305422,-0.008017749
14.81999,-2.53325,-1.304908,-0.007661496
14.83999,-2.531689,-1.304379,-0.007276609
14.85999,-2.530056,-1.303849,-0.006868689
14.87999,-2.528368,-1.303338,-0.00643952
14.89999,-2.526651,-1.302857,-0.005991901
14.91999,-2.524904,-1.302393,-0.005526985
14.93999,-2.523114,-1.301939,-0.005050088
14.95999,-2.52129,-1.30151,-0.004565203
14.97999,-2.519465,-1.301118,-0.00407498
14.99999,-2.517657,-1.30077,-0.003576555
15.01999,-2.515838,-1.300458,-0.003074981
15.03999,-2.513981,-1.300171,-0.002576364
15.05999,-2.512084,-1.299916,-0.002086915
15.07999,-2.510164,-1.299699,-0.001610616
15.09999,-2.50824,-1.299524,-0.001150507
15.12,-2.506284,-1.29939,-0.000709747
15.13999,-2.504295,-1.299287,-0.0002909461
15.16,-2.502276,-1.299214,0.0001077484
15.17999,-2.500241,-1.299176,0.0004813839
15.2,-2.49821,-1.299172,0.0008286582
15.21999,-2.496161,-1.29921,0.001146755
15.24,-2.494075,-1.299281,0.001434662
15.25999,-2.491983,-1.299383,0.001698305
15.27999,-2.489892,-1.299515,0.00193361
15.29999,-2.487844,-1.299678,0.002140285
15.31999,-2.485809,-1.299882,0.00232045
15.33999,-2.483758,-1.300123,0.002472925
15.35999,-2.4817,-1.300395,0.002597276
15.37999,-2.479654,-1.300695,0.002695248
15.39999,-2.477645,-1.301017,0.002769451
15.41999,-2.475645,-1.301381,0.002817677
15.43999,-2.473631,-1.301786,0.002840958
15.45999,-2.471619,-1.302223,0.002840586
15.47999,-2.469628,-1.302684,0.002819895
15.49999,-2.467682,-1.303164,0.002782138
15.51999,-2.465773,-1.303682,0.002717245
15.53999,-2.463871,-1.304244,0.002635649
15.55999,-2.462017,-1.304836,0.00254785
15.57999,-2.460209,-1.305444,0.002446889
15.59999,-2.458459,-1.306061,0.00233613
